Date,Name,Type,Day
2023-09-28,Milad un-Nabi/Id-e-Milad,Gazetted Holiday,Thursday
2023-10-02,Mahatma Gandhi Jayanti,Gazetted Holiday,Monday
2023-10-15,First Day of Sharad Navratri,"Observance, Hinduism",Sunday
2023-10-20,First Day of Durga Puja Festivities,"Observance, Hinduism",Friday
2023-10-21,Maha Saptami,Restricted Holiday,Saturday
2023-10-22,Maha Ashtami,Restricted Holiday,Sunday
2023-10-23,Maha Navami,Restricted Holiday,Monday
2023-10-24,Dussehra,Gazetted Holiday,Tuesday
2023-10-28,Maharishi Valmiki Jayanti,Restricted Holiday,Saturday
2023-10-31,Halloween,Observance,Tuesday
2023-11-01,Karaka Chaturthi (Karva Chauth),Restricted Holiday,Wednesday
2023-11-12,Naraka Chaturdasi,Restricted Holiday,Sunday
2023-11-13,Govardhan Puja,Restricted Holiday,Monday
2023-11-24,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday,Friday
2023-11-27,Guru Nanak Jayanti,Gazetted Holiday,Monday
2023-12-08,First Day of Hanukkah,Observance,Friday
2023-12-15,Last day of Hanukkah,Observance,Friday
2023-12-22,December Solstice,Season,Friday
2023-12-24,Christmas Eve,Restricted Holiday,Sunday
2023-12-25,Christmas,Gazetted Holiday,Monday
2023-12-31,New Year's Eve,Observance,Sunday
